id,created_at,text
1138669638894538752,2019-06-12 04:49:32,"I really want to visit the moon, but I can’t imagine the stress I’d be under trying to come up with a caption for that insta post"
1136096754032496640,2019-06-05 02:25:48,Thank ya EA for helping me buy my friend Suzy a new car! Come hang out with me at EA Play this Saturday June 8th at 1pm. It’s free to register! https://t.co/IjwD8yGus8 #EASponsored #EAPlay https://t.co/9jN5vecJ2U
1132725422666371072,2019-05-26 19:09:20,Getting my wisdom teeth taken out was like weekend one of Coachella all over again https://t.co/9PFduqXyvo
1129790110524948482,2019-05-18 16:45:27,My friend told me I would never find love and get married. So I flew to his moms house and married her on the spot. Now that same friend is my stepson. True love always wins https://t.co/OQ3p0ONGkV
1129051501848956928,2019-05-16 15:50:29,@barisamugarin Possibly https://t.co/HQ4vSDZtKz
1125148824249364480,2019-05-05 21:22:38,@zane Nvm must’ve been drunk
1125127724354265088,2019-05-05 19:58:48,Met this cute guy outside of a club last night. Didn’t get his name. Twitter do your thing https://t.co/B6gbhuv79M
1123323910219386880,2019-04-30 20:31:05,thank you for making this my job https://t.co/m6kGWeA7Kc
1122145769635684354,2019-04-27 14:29:34,This was the most fun I’ve had in a while hahaha https://t.co/FZKwICMt8b
1118609132351680512,2019-04-17 20:16:14,It’s crazy how much can change in two weeks lol https://t.co/6KNuy05FsP
1113590808882454530,2019-04-03 23:55:13,Who knew sliding into DMS actually worked! CHIPOTLE NAMED A BURRITO AFTER ME #ad https://t.co/bYQddDL3lQ
1109633246709506049,2019-03-24 01:49:16,MY FIRST KIDS CHOICE AWARD PRESENTED BY JOSH PECK https://t.co/ZOXYs8A94x
1108071345869340673,2019-03-19 18:22:50,The 3 of us would do ANYTHING to get water to the Fyre Festival https://t.co/CQH3rkfHBf
1100991448739012609,2019-02-28 05:29:51,Loving the support from me deciding to post less vlogs a week https://t.co/aalFMxOSxY
1089249895540699136,2019-01-26 19:53:07,&lt;3 https://t.co/v2VlkloXbv
1084954487024869376,2019-01-14 23:24:41,2019 vs 2029 https://t.co/N5cKMuJxxx
1083076126677786624,2019-01-09 19:00:45,@jessconte I’m down!!!  Dm me!!
1081317458777071616,2019-01-04 22:32:26,@Wendys I’d ask if the carpet matches the drapes but I already know with all the hair I find in your food
1081306645592829952,2019-01-04 21:49:28,@Wendys what’s up Wendy
1081277862814965761,2019-01-04 19:55:06,He never showed up https://t.co/GpU1AWRMMC
1075187236323307520,2018-12-19 00:33:07,Merry Christmas to me https://t.co/lOV8EQfZQX
1071158227461595136,2018-12-07 21:43:17,I hit 10 million subscribers today. That’s almost double the population of the country I was born in. Thank you for making me a world leader
1064850237951361025,2018-11-20 11:57:35,"Choosing one person who RT's to be next videos shoutout!

New vid is up! Like and subscribe!

https://t.co/evbtWBVYLs"
1061792242606628864,2018-11-12 01:26:12,I was just on FaceTime with Liza on her computer and she hit the space bar trying to pause me thinkng I was a video lol
1058825985649369088,2018-11-03 20:59:21,Give this family a show I’ll help https://t.co/qnJ7EGHBNl
1053006463650557952,2018-10-18 19:34:39,It’s nice to see them get along for once https://t.co/pBsSJxaATL
1052962682742034433,2018-10-18 16:40:41,Miranda Cosgrove and Josh Peck reunite after 4 years https://t.co/1ylfgn7Btx
1042914763104169984,2018-09-20 23:13:50,King of eating chipotle https://t.co/xSd2u27w2V
1039214626452299776,2018-09-10 18:10:49,This is why you shouldn’t cut in line https://t.co/dHOndZ9jSF
1037780528785543168,2018-09-06 19:12:13,I highly recommend that everyone turns their siblings invisible HAHAHAH https://t.co/SK4jLw7cNa
1027666662156206080,2018-08-09 21:23:20,HAHAHAHAH https://t.co/VcqmhDkkGm
1025083708565381125,2018-08-02 18:19:35,Ah https://t.co/UpUYMC9A94
1024842208094998528,2018-08-02 02:19:57,My friend just sent me this hahaha https://t.co/9zqTjTkepT
1024349604580450305,2018-07-31 17:42:31,We shaved our friend only to realize he looks like Humpty Dumpty hahah https://t.co/IJTcCCczpC
1021558511631654914,2018-07-24 00:51:43,Thank you cuties for all the birthday wishes! I love you all. Here’s a throwback of my dad trying to wish me Happy Birthday lol https://t.co/ZAcmhg2tkv
